Ranking,Platform,CPU,2024 SingleScore*,2024 MultiScore**,Cores,Max. TDP
1,Desktop,M3 Ultra,133,2753,32(8E + 24P),null
2,Desktop,Ryzen 9 9950X3D2,140,2600,16(16P),270 W
3,Desktop,Core Ultra 7 270K Plus,145,2482,24(16E + 8P),250 W
4,Desktop,Ryzen 9 9950X3D,138,2456,16(16P),230 W
5,Desktop,Core i9 14900KS,144,2443,24(16E + 8P),253 W
6,Desktop,Core Ultra 9 285K,142,2359,24(16E + 8P),250 W
7,Desktop,Ryzen 9 9950X,137,2320,16(16P),230 W
8,Laptop,Core Ultra 9 285HX,126,2240,24(16E + 8P),160 W
9,Laptop,Core Ultra 9 290HX Plus,126,2219,24(16E + 8P),160 W
10,Laptop,Ryzen 9 9955HX3D,130,2160,16(16P),101 W
11,Desktop,Core i9 13900KS,135,2156,24(16E + 8P),253 W
12,Laptop,Ryzen 9 9955HX,134,2091,16(16P),101 W
13,Desktop,Core i9 14900K,129,2086,24(16E + 8P),253 W
14,Desktop,Ryzen 9 7950X,120,2077,16(16P),230 W
15,Laptop,M5 Max (40-сore GPU),200,2073,18(12E + 6P),null
16,Desktop,Core i9 14900KF,129,2071,24(16E + 8P),253 W
17,Desktop,Core i9 14900,124,2069,24(16E + 8P),219 W
18,Desktop,Core Ultra 7 265KF,138,2067,20(12E + 8P),250 W
19,Laptop,M5 Max (32-сore GPU),200,2066,18(12E + 6P),null
20,Desktop,Core i9 13900,128,2060,24(16E + 8P),219 W
21,Laptop,M5 Pro (18-Core),201,2053,18(12E + 6P),null
22,Laptop,M4 Max (16-Core),187,2044,16(4E + 12P),null
23,Desktop,Core Ultra 7 265K,138,2017,20(12E + 8P),250 W
24,Laptop,Core i9 13980HX,129,2014,24(16E + 8P),157 W
25,Desktop,Ryzen 9 7950X3D,117,2003,16(16P),162 W
26,Laptop,M5 Pro (15-Core),208,1982,15(10E + 5P),null
27,Laptop,Snapdragon X2 Elite Extreme (X2E-96-100),160,1967,18(18P),null
28,Desktop,Core i7 14700,126,1959,20(12E + 8P),219 W
29,Laptop,Core Ultra 9 275HX,129,1944,24(16E + 8P),160 W
30,Desktop,Ryzen 9 9900X3D,136,1923,12(12P),230 W
31,Laptop,M2 Ultra,126,1918,24(8E + 16P),null
32,Laptop,Core i9 13950HX,127,1901,24(16E + 8P),157 W
33,Desktop,Core i9 13900KF,125,1896,24(16E + 8P),253 W
34,Desktop,Core i9 13900K,124,1896,24(16E + 8P),253 W
35,Desktop,Core i7 14700K,124,1859,20(12E + 8P),253 W
36,Laptop,Ryzen AI Max+ 395,115,1855,16(16P),null
37,Desktop,Core Ultra 5 250K Plus,139,1853,18(12E + 6P),159 W
38,Laptop,Ryzen 9 7945HX,114,1834,16(16P),null
39,Laptop,Core Ultra 7 255HX,131,1820,20(12E + 8P),160 W
40,Desktop,Ryzen 9 9900X,137,1810,12(12P),162 W
41,Desktop,Core i7 14700KF,124,1787,20(12E + 8P),253 W
42,Laptop,Ryzen AI Max+ Pro 395,113,1785,16(16P),null
43,Laptop,Core i9 14900HX,130,1780,24(16E + 8P),157 W
44,Laptop,Ryzen 9 7945HX3D,115,1772,16(16P),null
45,Laptop,Snapdragon X2 Elite Extreme (X2E-94-100),151,1761,18(18P),null
46,Laptop,Core i9 13900HX,115,1737,24(16E + 8P),157 W
47,Laptop,Ryzen AI Max 390,134,1731,12(12P),120 W
48,Laptop,M4 Max (14-Core),181,1702,14(4E + 10P),null
49,Laptop,Core Ultra 7 265HX,132,1698,20(12E + 8P),160 W
50,Laptop,M3 Max,142,1698,16(4E + 12P),null
51,Laptop,Ryzen AI Max 385,133,1688,8(8P),120 W
52,Laptop,M4 Pro (14-Core),172,1678,14(4E + 10P),null
53,Desktop,Ryzen 9 7900,120,1657,12(12P),142 W
54,Laptop,Ryzen 9 8945HX,114,1633,16(16P),75 W
55,Laptop,Ryzen 9 8940HX,111,1622,16(16P),null
56,Desktop,Core i7 14700F,123,1609,20(12E + 8P),219 W
57,Desktop,Core i9 13900F,117,1601,24(16E + 8P),219 W
58,Desktop,Core Ultra 5 245KF,136,1560,14(8E + 6P),159 W
59,Desktop,Ryzen 9 7900X3D,116,1529,12(12P),162 W
60,Desktop,Core i9 12900K,109,1526,16(8E + 8P),241 W
61,Desktop,Core i7 13700KF,122,1525,16(8E + 8P),253 W
62,Desktop,Ryzen 9 7900X,118,1522,12(12P),230 W
63,Desktop,Core i7 13700K,121,1521,16(8E + 8P),253 W
64,Desktop,Core Ultra 5 245K,136,1518,14(8E + 6P),159 W
65,Desktop,Core Ultra 9 285,133,1508,24(16E + 8P),182 W
66,Desktop,Core i9 14900F,132,1506,24(16E + 8P),219 W
67,Desktop,Core Ultra 7 265F,130,1502,20(12E + 8P),182 W
68,Laptop,Ryzen 9 9850HX,111,1479,12(12P),101 W
69,Laptop,Snapdragon X2 Elite (X2E-88-100),149,1467,18(18P),null
70,Laptop,Ryzen AI Max+ 388,114,1464,8(8P),120 W
71,Desktop,Ryzen 9 5950X,96,1464,16(16P),142 W
72,Desktop,Core i9 12900KF,115,1463,16(8E + 8P),241 W
73,Laptop,Ryzen 9 7845HX,110,1424,12(12P),null
74,Laptop,M4 Pro (12-Core),172,1421,12(4E + 8P),null
75,Laptop,Core Ultra 5 245HX,131,1420,14(8E + 6P),160 W
76,Desktop,Ryzen 7 9850X3D,144,1398,8(8P),162 W
77,Desktop,Core Ultra 7 265,131,1398,20(12E + 8P),182 W
78,Desktop,Core i5 14600KF,120,1384,14(8E + 6P),181 W
79,Laptop,Ryzen AI Max+ 392,109,1381,12(12P),120 W
80,Desktop,Ryzen 9 3950X,80,1370,16(16P),null
81,Desktop,Ryzen 7 9800X3D,132,1332,8(8P),162 W
82,Desktop,Core i7 13700F,112,1325,16(8E + 8P),219 W
83,Laptop,Core Ultra X9 388H,130,1324,16(12E + 4P),80 W
84,Desktop,Ryzen 7 9700X,137,1313,8(8P),142 W
85,Desktop,Core i5 13600K,118,1289,14(8E + 6P),181 W
86,Desktop,Core i7 12700KF,115,1284,12(4E + 8P),190 W
87,Laptop,Core i9 12950HX,118,1282,16(8E + 8P),157 W
88,Laptop,Core i7 14700HX,120,1281,20(12E + 8P),157 W
89,Laptop,Ryzen AI 9 HX 375,121,1277,12(8E + 4P),null
90,Laptop,Core i7 13700HX,111,1275,16(8E + 8P),157 W
91,Desktop,Core i5 14600K,119,1273,14(8E + 6P),181 W
92,Desktop,Ryzen 7 7800X,118,1270,8(8P),null
93,Laptop,Core i9 12900HX,112,1269,16(8E + 8P),157 W
94,Laptop,Core Ultra 9 386H,125,1268,16(12E + 4P),80 W
95,Laptop,Ryzen AI 9 HX 370,125,1242,12(8E + 4P),null
96,Laptop,Ryzen AI 9 HX 470,119,1241,12(8E + 4P),null
97,Desktop,Ryzen 9 Pro 9945,135,1231,12(12P),null
98,Desktop,Core Ultra 5 235,127,1228,14(8E + 6P),121 W
99,Laptop,Snapdragon X Elite (X1E-84-100),133,1220,12(12P),80 W
100,Desktop,Core i5 14600,117,1218,14(8E + 6P),154 W
101,Laptop,Core Ultra 7 366H,123,1208,16(12E + 4P),80 W
102,Desktop,Core i7 12700K,111,1203,12(4E + 8P),190 W
103,Desktop,Core i5 13600KF,118,1198,14(8E + 6P),181 W
104,Desktop,Ryzen 9 5900X,95,1193,12(12P),142 W
105,Laptop,M5 (10-Core),208,1183,10(6E + 4P),null
106,Desktop,Core i5 13600,114,1183,14(8E + 6P),154 W
